Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
4,129,NYJ,Cameron Clark,T,22,,0,0,0,0,0,,ClarCa00,2020
4,130,MIN,James Lynch,DT,21,2022,0,0,0,5,5,37,LyncJa00,2020
4,131,ARI,Rashard Lawrence,DT,22,2022,0,0,0,6,6,25,LawrRa01,2020
4,132,MIN,Troy Dye,LB,23,2023,0,0,1,7,7,60,DyexTr00,2020
4,133,SEA,Colby Parkinson,TE,21,2023,0,0,0,5,5,54,ParkCo02,2020
4,134,ATL,Jaylinn Hawkins,S,23,2023,0,0,1,10,9,58,HawkJa00,2020
4,135,PIT,Kevin Dotson,G,23,2023,0,0,1,17,11,53,DotsKe00,2020
4,136,LAR,Brycen Hopkins,TE,23,2023,0,0,0,2,2,39,HopkBr01,2020
4,137,JAX,Josiah Scott,CB,21,2023,0,0,0,3,0,39,ScotJo00,2020
4,138,KAN,L'Jarius Sneed,S,23,2023,0,0,2,19,19,57,SneeLJ00,2020
4,139,OAK,Amik Robertson,CB,22,2023,0,0,0,9,9,52,RobeAm00,2020
4,140,JAX,Shaquille Quarterman,LB,22,2023,0,0,0,4,4,63,QuarSh00,2020
4,141,HOU,John Reid,CB,24,2022,0,0,0,2,1,27,ReidJo00,2020
4,142,WAS,Antonio Gandy-Golden,WR,22,2021,0,0,0,0,0,10,GandAn00,2020
4,143,BAL,Ben Bredeson,G,22,2023,0,0,0,10,1,45,BredBe00,2020
4,144,SEA,DeeJay Dallas,RB,21,2023,0,0,0,6,6,61,DallDe00,2020
4,145,PHI,Jack Driscoll,G,23,2023,0,0,0,11,11,54,DrisJa00,2020
4,146,DAL,Tyler Biadasz,C,22,2023,0,1,2,25,25,61,BiadTy00,2020
5,147,CIN,Khalid Kareem,DE,22,2023,0,0,0,2,2,28,KareKh00,2020
5,148,SEA,Alton Robinson,DE,22,2021,0,0,0,3,3,30,RobiAl03,2020
5,149,IND,Danny Pinter,G,24,2022,0,0,0,5,5,46,PintDa00,2020
5,150,NYG,Shane Lemieux,G,23,2023,0,0,1,3,3,18,LemiSh00,2020
5,151,LAC,Joe Reed,WR,22,2020,0,0,0,0,0,11,ReedJo03,2020
5,152,CAR,Kenny Robinson Jr.,S,21,2021,0,0,0,1,1,19,RobiKe02,2020
5,153,SFO,Colton McKivitz,T,24,2023,0,0,0,11,11,45,McKiCo00,2020
5,154,MIA,Jason Strowbridge,DE,23,2020,0,0,0,1,1,8,StroJa02,2020
5,155,CHI,Trevis Gipson,DE,23,2023,0,0,1,10,9,48,GipsTr00,2020
5,156,WAS,Keith Ismael,C,22,2023,0,0,0,3,2,31,IsmaKe00,2020
5,157,JAX,Daniel Thomas,S,22,2023,0,0,0,4,4,56,ThomDa07,2020
5,158,NYJ,Bryce Hall,CB,23,2023,0,0,2,9,9,39,HallBr02,2020
5,159,NWE,Justin Rohrwasser,K,23,,0,0,0,0,0,,RohrJu00,2020
5,160,CLE,Nick Harris,C,21,2023,0,0,0,4,4,40,HarrNi01,2020
5,161,TAM,Tyler Johnson,WR,22,2023,0,0,0,5,5,34,JohnTy00,2020
5,162,WAS,Khaleke Hudson,LB,22,2023,0,0,0,7,7,58,HudsKh00,2020
5,163,CHI,Kindle Vildor,CB,22,2023,0,0,2,8,7,51,VildKi00,2020
5,164,MIA,Curtis Weaver,DE,22,2021,0,0,0,0,0,1,WeavCu00,2020
5,165,JAX,Collin Johnson,WR,22,2023,0,0,0,3,2,29,JohnCo01,2020
5,166,DET,Quintez Cephus,WR,22,2022,0,0,0,5,5,22,CephQu00,2020
5,167,BUF,Jake Fromm,QB,22,2021,0,0,0,1,0,3,FromJa00,2020
5,168,PHI,John Hightower,WR,24,2021,0,0,0,1,1,14,HighJo00,2020
5,169,MIN,Harrison Hand,CB,21,2022,0,0,0,2,2,27,HandHa00,2020
5,170,BAL,Broderick Washington Jr.,DT,23,2023,0,0,1,11,11,55,WashBr01,2020
5,171,HOU,Isaiah Coulter,WR,21,2021,0,0,0,0,0,4,CoulIs00,2020
5,172,DET,Jason Huntley,RB,22,2021,0,0,0,0,0,6,HuntJa01,2020
5,173,CHI,Darnell Mooney,WR,22,2023,0,0,2,24,24,60,MoonDa00,2020
5,174,TEN,Larrell Murchison,DT,23,2023,0,0,0,6,4,44,MurcLa00,2020
5,175,GNB,Kamal Martin,LB,22,2021,0,0,0,4,3,16,MartKa01,2020
5,176,MIN,K.J. Osborn,WR,23,2023,0,0,1,13,13,59,OsboKJ00,2020
5,177,KAN,Michael Danna,DE,22,2023,0,0,0,13,13,59,DannMi00,2020
5,178,DEN,Justin Strnad,LB,24,2023,0,0,0,5,5,50,StrnJu00,2020
5,179,DAL,Bradlee Anae,DE,21,2021,0,0,0,1,1,11,AnaeBr00,2020
6,180,CIN,Hakeem Adeniji,T,22,2023,0,0,0,9,9,43,AdenHa00,2020
6,181,DEN,Netane Muti,G,21,2023,0,0,0,3,3,22,MutiNe00,2020
6,182,NWE,Michael Onwenu,G,22,2023,0,0,2,22,22,64,OnweMi00,2020
6,183,NYG,Cam Brown,LB,22,2023,0,0,0,4,4,60,BrowCa01,2020
6,184,CAR,Bravvion Roy,DT,23,2022,0,0,1,9,9,45,RoyxBr00,2020
6,185,MIA,Blake Ferguson,LS,23,2023,0,0,0,4,4,67,FergBl00,2020
6,186,LAC,Alohi Gilman,S,22,2023,0,0,0,10,10,57,GilmAl00,2020
6,187,CLE,Donovan Peoples-Jones,WR,21,2023,0,0,1,18,17,58,PeopDo00,2020
6,188,BUF,Tyler Bass,K,23,2023,0,0,1,11,11,66,BassTy00,2020
6,189,JAX,Jake Luton,QB,24,2020,0,0,0,2,2,3,LutoJa00,2020
6,190,SFO,Charlie Woerner,TE,22,2023,0,0,0,0,0,65,WoerCh00,2020
6,191,NYJ,Braden Mann,P,22,2023,0,0,1,9,7,58,MannBr01,2020
6,192,GNB,Jon Runyan Jr.,T,23,2023,0,0,2,26,26,67,RunyJo00,2020
6,193,IND,Robert Windsor,DT,23,2020,0,0,0,0,0,2,WindRo01,2020
6,194,TAM,Khalil Davis,DT,24,2023,0,0,0,2,0,18,DaviKh00,2020
6,195,NWE,Justin Herron,T,24,2023,0,0,0,7,6,35,HerrJu00,2020
6,196,PHI,Shaun Bradley,LB,23,2022,0,0,0,3,3,45,BradSh00,2020
6,197,DET,John Penisini,DT,23,2021,0,0,1,6,6,32,PeniJo00,2020
6,198,PIT,Antoine Brooks Jr.,S,21,2021,0,0,0,1,0,12,BrooAn00,2020
6,199,LAR,Jordan Fuller,S,22,2023,0,0,2,15,15,48,FullJo01,2020
6,200,PHI,Quez Watkins,WR,22,2023,0,0,1,13,13,49,WatkQu00,2020
6,201,BAL,James Proche,WR,23,2023,0,0,0,3,3,53,ProcJa00,2020
6,202,ARI,Evan Weaver,LB,22,,0,0,0,0,0,,WeavEv00,2020
6,203,MIN,Blake Brandel,T,23,2023,0,0,0,5,5,39,BranBl00,2020
6,204,NWE,Cassh Maluia,LB,21,2020,0,0,0,1,1,9,MaluCa00,2020
6,205,MIN,Josh Metellus,S,22,2023,0,0,0,10,10,65,MeteJo00,2020
6,206,JAX,Tyler Davis,TE,23,2022,0,0,0,0,0,39,DaviTy02,2020
6,207,BUF,Isaiah Hodgins,WR,21,2023,0,0,0,5,0,28,HodgIs00,2020
6,208,GNB,Jake Hanson,C,23,2023,0,0,0,2,1,18,HansJa00,2020
6,209,GNB,Simon Stepaniak,T,23,,0,0,0,0,0,,StepSi00,2020
6,210,PHI,Prince Tega Wanogho,T,22,2023,0,0,0,1,0,23,WanoTe00,2020
6,211,IND,Isaiah Rodgers,CB,22,2022,0,0,1,8,8,45,RodgIs00,2020
6,212,IND,Dezmon Patmon,WR,22,2022,0,0,0,0,0,10,PatmDe00,2020
6,213,IND,Jordan Glasgow,LB,24,2021,0,0,0,2,2,25,GlasJo00,2020
6,214,SEA,Freddie Swain,WR,22,2022,0,0,0,5,5,37,SwaiFr00,2020
7,215,CIN,Markus Bailey,LB,23,2023,0,0,0,7,7,60,BailMa01,2020
7,216,WAS,Kamren Curl,S,21,2023,0,0,3,18,18,60,CurlKa00,2020
7,217,SFO,Jauan Jennings,WR,23,2023,0,0,0,9,9,45,JennJa00,2020
7,218,NYG,Carter Coughlin,LB,23,2023,0,0,0,5,5,55,CougCa00,2020
7,219,BAL,Geno Stone,S,21,2023,0,0,0,12,12,51,StonGe00,2020
7,220,LAC,K.J. Hill,WR,22,2021,0,0,0,1,1,21,HillKJ00,2020
7,221,CAR,Stantley Thomas-Oliver,CB,22,2022,0,0,0,2,2,25,ThomSt00,2020
7,222,ARI,Eno Benjamin,RB,21,2022,0,0,0,4,4,24,BenjEn00,2020
7,223,JAX,Chris Claybrooks,CB,23,2022,0,0,0,5,5,46,ClayCh02,2020
7,224,TEN,Cole McDonald,QB,22,,0,0,0,0,0,,McDoCo00,2020
7,225,MIN,Kenny Willekes,DE,23,2021,0,0,0,1,1,6,WillKe06,2020
7,226,CHI,Arlington Hambright,T,24,2023,0,0,0,1,1,11,HambAr00,2020
7,227,CHI,Lachavious Simmons,G,23,2021,0,0,0,0,0,2,SimmLa00,2020
